"V1"	"V2"	"Cat"
"1"	112	1136.95853752797	"incompat only"
"2"	117	1162.93469907745	"incompat only"
"3"	105	1055.15727984444	"incompat only"
"4"	93	928.113672010259	"incompat only"
"5"	95	980.435134347258	"incompat only"
"6"	99	985.188246344474	"incompat only"
"7"	115	1102.87316659669	"incompat only"
"8"	105	1057.24375972866	"incompat only"
"9"	101	1036.93197916503	"incompat only"
"10"	118	1197.57599853674	"incompat only"
"11"	99	970.547113447152	"incompat only"
"12"	110	1092.40204470199	"incompat only"
"13"	96	933.038277071124	"incompat only"
"14"	115	1138.79690703958	"incompat only"
"15"	116	1167.11399801923	"incompat only"
"16"	117	1180.17516030036	"incompat only"
"17"	88	812.946466454709	"incompat only"
"18"	94	955.044395241762	"incompat only"
"19"	95	968.992454798891	"incompat only"
"20"	102	996.90500679078	"incompat only"
"21"	101	1029.15510390635	"incompat only"
"22"	113	1143.21376282869	"incompat only"
"23"	108	1063.78711627798	"incompat only"
"24"	106	1066.00053867578	"incompat only"
"25"	98	995.802625779151	"incompat only"
"26"	105	1056.51310668094	"incompat only"
"27"	121	1208.26324506524	"incompat only"
"28"	111	1161.18204807173	"incompat only"
"29"	116	1180.1766298255	"incompat only"
"30"	111	1114.35491863114	"incompat only"
"31"	104	985.397188080719	"incompat only"
"32"	104	1032.1336380561	"incompat only"
"33"	106	1041.7272081918	"incompat only"
"34"	103	1022.36009532112	"incompat only"
"35"	117	1166.89606824472	"incompat only"
"36"	107	1050.24330809838	"incompat only"
"37"	105	1067.81781690185	"incompat only"
"38"	101	1018.90732531525	"incompat only"
"39"	107	1054.16205061827	"incompat only"
"40"	110	1104.50121198003	"incompat only"
"41"	106	1076.04119711332	"incompat only"
"42"	113	1150.18529832862	"incompat only"
"43"	114	1126.36878516507	"incompat only"
"44"	100	968.036317327028	"incompat only"
"45"	96	937.288293260561	"incompat only"
"46"	119	1174.27599223206	"incompat only"
"47"	94	910.781230118043	"incompat only"
"48"	111	1142.74928071538	"incompat only"
"49"	111	1126.7602036887	"incompat only"
"50"	108	1103.30682487084	"incompat only"
"51"	116	1171.46249474465	"incompat only"
"52"	107	1079.0044765582	"incompat only"
"53"	111	1076.56809867396	"incompat only"
"54"	111	1112.40465608865	"incompat only"
"55"	88	866.138867746519	"incompat only"
"56"	102	1032.56790669671	"incompat only"
"57"	113	1076.65022533308	"incompat only"
"58"	87	888.380877119493	"incompat only"
"59"	111	1142.56952859919	"incompat only"
"60"	120	1188.45961840073	"incompat only"
"61"	105	1069.85456844694	"incompat only"
"62"	102	996.177721133716	"incompat only"
"63"	92	878.447973445691	"incompat only"
"64"	101	1039.12131648406	"incompat only"
"65"	91	935.626496943316	"incompat only"
"66"	93	916.868928921838	"incompat only"
"67"	97	946.285080279821	"incompat only"
"68"	90	894.579835570152	"incompat only"
"69"	100	987.558189082506	"incompat only"
"70"	108	1076.09783306915	"incompat only"
"71"	108	1083.01825613147	"incompat only"
"72"	103	998.263203653923	"incompat only"
"73"	112	1107.01609357997	"incompat only"
"74"	105	1032.09430878212	"incompat only"
"75"	108	1080.83220514853	"incompat only"
"76"	94	940.226520439889	"incompat only"
"77"	110	1064.80748794232	"incompat only"
"78"	122	1202.53504856504	"incompat only"
"79"	102	1038.83167666622	"incompat only"
"80"	102	968.53467447834	"incompat only"
"81"	95	959.834698950661	"incompat only"
"82"	111	1117.72465201763	"incompat only"
"83"	102	1017.83615064831	"incompat only"
"84"	90	901.464099412335	"incompat only"
"85"	103	1012.04333284891	"incompat only"
"86"	113	1127.88162256684	"incompat only"
"87"	113	1181.62754189368	"incompat only"
"88"	91	923.210523596494	"incompat only"
"89"	101	1004.20479275397	"incompat only"
"90"	93	932.120666820287	"incompat only"
"91"	109	1092.39767291587	"incompat only"
"92"	99	995.686947262067	"incompat only"
"93"	95	942.659125787627	"incompat only"
"94"	111	1110.00553447504	"incompat only"
"95"	116	1177.81614431863	"incompat only"
"96"	100	1024.24497210812	"incompat only"
"97"	100	1003.0096583452	"incompat only"
"98"	121	1253.90038322492	"incompat only"
"99"	101	1012.81134017514	"incompat only"
"100"	111	1091.92291615902	"incompat only"
"101"	106	1069.81091285602	"incompat only"
"102"	101	1022.12803778843	"incompat only"
"103"	99	990.864944894877	"incompat only"
"104"	92	908.245662964174	"incompat only"
"105"	100	1005.67817406176	"incompat only"
"106"	94	931.031643007774	"incompat only"
"107"	101	995.746992444821	"incompat only"
"108"	112	1114.56891874224	"incompat only"
"109"	94	950.954048450052	"incompat only"
"110"	98	951.336984176618	"incompat only"
"111"	110	1113.01299265145	"incompat only"
"112"	117	1160.17710079443	"incompat only"
"113"	91	899.208120254127	"incompat only"
"114"	107	1080.12629948911	"incompat only"
"115"	102	1030.04758570627	"incompat only"
"116"	111	1125.02492065233	"incompat only"
"117"	104	1072.99385422288	"incompat only"
"118"	94	953.539329817167	"incompat only"
